"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"made pot roast. it was fyeee <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>",FALSE,0,NA,2017-04-23 08:00:46,FALSE,NA,"856055229548122113",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lshainexo",0,FALSE,FALSE,NA,NA
"declan sure takes a good accounts to my pot noodles from",FALSE,0,NA,2017-04-23 08:00:35,FALSE,NA,"856055183431872512",NA,"<a href=""http://www.twitter.com/uro"" rel=""nofollow"">Lexii Bot</a>","LexiiBot",0,FALSE,FALSE,NA,NA
"lolololol this one big melting pot rift now rn",FALSE,0,NA,2017-04-23 08:00:24,FALSE,NA,"856055140960305152",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Theranch_Dubois",0,FALSE,FALSE,NA,NA
"The average price of #PotCoin (#POT) across all exchanges is 0.00003275R BTC",FALSE,0,NA,2017-04-23 08:00:13,FALSE,NA,"856055094055501826",NA,"<a href=""https://flutter.social"" rel=""nofollow"">Flutter_HQ</a>","PotCoinBot",0,FALSE,FALSE,NA,NA
"I can cook the dope with no stove.. pot on the floor",FALSE,0,NA,2017-04-23 08:00:08,FALSE,NA,"856055070710009857",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HustleHarder_",0,FALSE,FALSE,NA,NA
"Massive hot pot unveiled in East China, can serve up to 40
#TAGConfucius #Chinanews https://t.co/QREJxCqeJV",FALSE,0,NA,2017-04-23 08:00:04,FALSE,NA,"856055056205922304",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","TAG_Confucius",0,FALSE,FALSE,NA,NA
"Smh the pot callin the kettle black <ed><U+00A0><U+00BE><ed><U+00B4><U+00A6><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><U+200D><U+2642><U+FE0F>",FALSE,0,NA,2017-04-23 07:59:47,FALSE,NA,"856054982231064576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ZeeeEazy_",0,FALSE,FALSE,NA,NA
"@KSLFmistress can never stop with the pot noddle no matter what age!",FALSE,1,"KSLFmistress",2017-04-23 07:59:03,FALSE,"855874305439256581","856054800781389825","854331272302399488","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Paddington1477S",0,FALSE,FALSE,NA,NA
"@Lynestel @PetraAu If you aren't Deep Ecology, then you aren't contributing. The ecosystem doesn't need or want arm… https://t.co/DVE7OAt0N9",FALSE,0,"gabrielapetrie",2017-04-23 07:58:59,TRUE,"856054456273833984","856054780917100544","263659788","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gabrielapetrie",0,FALSE,FALSE,NA,NA
"@timeistheenemy oh my god don't remind me of the Mac and cheese pot noodle",FALSE,1,"timeistheenemy",2017-04-23 07:58:46,FALSE,"856053823055572992","856054726693191680","153796770","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","full_hearts",0,FALSE,FALSE,NA,NA
